iter	Passed	Remaining
301	2047	4732
302	2052	4720
303	2056	4709
304	2061	4698
305	2068	4690
306	2074	4683
307	2081	4676
308	2088	4669
309	2094	4662
310	2102	4658
311	2109	4651
312	2117	4647
313	2121	4635
314	2128	4628
315	2134	4620
316	2143	4617
317	2151	4614
318	2158	4608
319	2163	4597
320	2171	4593
321	2180	4590
322	2186	4583
323	2193	4576
324	2197	4565
325	2204	4557
326	2209	4546
327	2213	4535
328	2222	4531
329	2230	4528
330	2235	4517
331	2245	4517
332	2253	4513
333	2257	4502
334	2262	4491
335	2269	4484
336	2275	4476
337	2280	4465
338	2286	4458
339	2293	4451
340	2299	4444
341	2306	4438
342	2312	4428
343	2318	4421
344	2323	4410
345	2329	4403
346	2338	4399
347	2344	4393
348	2351	4385
349	2357	4379
350	2364	4371
351	2369	4361
352	2373	4351
353	2382	4347
354	2387	4338
355	2396	4335
356	2402	4328
357	2411	4325
358	2420	4321
359	2424	4311
360	2429	4300
361	2436	4293
362	2442	4286
363	2447	4276
364	2456	4273
365	2461	4264
366	2468	4257
367	2474	4250
368	2481	4243
369	2488	4236
370	2495	4230
371	2499	4219
372	2506	4212
373	2511	4203
374	2518	4196
375	2522	4186
376	2528	4177
377	2538	4176
378	2548	4175
379	2553	4166
380	2563	4165
381	2570	4158
382	2575	4148
383	2581	4141
384	2586	4131
385	2594	4127
386	2599	4117
387	2604	4108
388	2611	4101
389	2616	4091
390	2620	4082
391	2625	4072
392	2632	4065
393	2641	4062
394	2651	4060
395	2660	4057
396	2665	4048
397	2673	4043
398	2680	4037
399	2684	4027
400	2694	4025
401	2701	4018
402	2706	4009
403	2713	4002
404	2718	3994
405	2724	3986
406	2729	3977
407	2735	3969
408	2745	3966
409	2750	3958
410	2758	3952
411	2765	3947
412	2773	3942
413	2779	3934
414	2785	3926
415	2800	3930
